name,description,link,category,pic
`Website Tutorial`,ğŸ•³ï¸ Create a Website using Docker and GitHub Pages, projects/website/website.html, Webdesign, ./projects/website/images/ghp.jpg
`Ansible Tutorial`, ğŸ•³ï¸ How to create a decentralized Website using Ansible, projects/ansible/ansible.html, Automation, ./projects/ansible/images/ansible.jpg 
`Akash Deployment Tutorial`, ğŸ•³ï¸ Akash Deployment Tutorial, projects/akash/akash.html, Decentralization, ./projects/akash/akt.jpg
`IPFS Tutorial`, ğŸ•³ï¸ How to deploy a Website on IPFS, projects/ipfs/ipfs.html, Decentralization, ./projects/ipfs/images/ipf.jpg 
`Hanshake Tutorial`, ğŸ•³ï¸ How to use Hanshake decentraliced naming and certificate authority, projects/handshake/handshake.html, Decentralization, ./projects/handshake/images/h.jpg 
`Smart Contract Tutorial`, ğŸ•³ï¸  How deploy voting contract on Ethereum testnetwork, projects/SmartContractTutorial/SmartContractTutorial.html, Decentralization, ./projects/SmartContractTutorial/images/sol.jpg
`Multisig Ethereum Wallet`, ğŸ•³ï¸  How deploy Multisig Ethereum wallet on Ethereum testnetwork, ./projects/MultiSigEthereumWallet/MultiSigEthereumWallet.html, Decentralization, ./projects/MultiSigEthereumWallet/images/msw.jpg
`ERC-20 Token`, ğŸ•³ï¸  How deploy ERC-20 Token on Ethereum Testnetwork, projects/ERC-20/ERC-20.html, Decentralization, ./projects/ERC-20/images/erc20.jpg
`VS Code Server`, ğŸ•³ï¸  How deploy VS Code Server, projects/vsc/vsc.html, Coding, ./projects/vsc/images/vscode.jpg
`Brave rewards`, ğŸ•³ï¸  How to enable Brave rewards on your Website, projects/brave/brave.html, Decentralization, ./projects/brave/images/bat.jpg
`Github Cheatsheet`, ğŸ•³ï¸  GitHub CLI Cheatsheet, projects/git/git.html, Coding, ./projects/git/images/GIT.jpg
`Storj Storageserver`, ğŸ•³ï¸  Create Storj Storageserver, projects/storj/storj.html, Decentralization, ./projects/storj/images/2_storj.jpg
`Aioz CLI Node`, ğŸ•³ï¸  How to Install Aioz Network CLI Node to earn $AIOZ, projects/aioz/aioz.html, Decentralization, ./projects/aoiz/images/aioz.jpg
`Monero Mining`, ğŸ•³ï¸  How to setup Monero Mining on Ubuntu to earn $XMR, projects/monero/monero.html, Privacy, ./projects/monero/images/xmr.png
`Sentinel Tutorial`, ğŸ•³ï¸ Sentinel Decentralized VPN Tutorial, projects/sentinel/sentinel.html, Decentralization, projects/sentinel/images/dvpn.jpg
`Encryption`, ğŸ•³ï¸  How to encrypt JavaScript using bash Script, projects/encryption/encryption.html, Encryption, ./projects/encryption/images/enc.png
`Private Key CLI Wallet`, ğŸ•³ï¸  How to convert mnemonic seed to private key and create wallet on CLI using Python , projects/PrivateKey/PrivateKey.html, Wallet, ./projects/PrivateKey/images/pk.png
